A,B,C,D,E,F,CLASS
73,99,84,40,95,11,0
35,9,18,18,42,5,1
93,82,32,18,72,43,0
91,36,62,67,40,98,1
80,34,2,11,100,21,1
72,92,39,69,18,13,1
2,91,3,19,62,45,0
24,2,72,100,20,68,0
11,92,7,15,96,14,1
6,51,35,82,67,55,1
31,93,85,57,40,50,0
84,93,76,17,49,28,1
45,75,25,29,39,73,1
43,40,37,43,74,52,0
20,39,32,51,21,27,0
88,34,12,74,27,38,1
66,19,64,16,12,7,1
57,70,53,72,76,63,1
47,45,0,34,45,7,0
25,23,35,1,78,44,0
51,36,60,32,49,75,1
53,58,35,1,36,47,1
67,64,78,5,96,35,0
54,79,89,46,100,73,1
84,28,0,68,28,43,0
18,99,66,55,88,52,1
33,77,78,44,1,97,1
28,57,63,27,41,85,1
0,2,83,55,33,28,1
81,39,2,62,45,94,1
13,37,91,25,74,95,1
31,43,83,55,93,68,1
60,80,44,71,96,62,1
3,58,1,23,92,51,0
51,45,86,4,52,16,1
29,71,9,8,66,57,0
49,84,51,95,45,2,1
41,63,76,67,98,30,0
45,39,79,11,89,73,1
78,86,8,52,84,77,1
45,11,4,61,85,98,0
85,6,91,51,50,18,0
24,53,32,3,86,79,0
37,29,87,5,78,73,0
4,6,98,59,50,21,0
36,43,1,94,36,51,1
56,8,33,67,40,91,1
58,40,38,80,25,53,1
29,1,24,3,46,96,1
97,2,57,47,12,4,0
91,41,42,25,40,3,0
26,50,17,36,23,0,1
6,80,18,49,12,26,1
86,13,37,89,88,96,0
18,15,80,51,13,84,0
85,35,3,37,77,36,0
81,16,48,97,61,58,0
57,98,65,55,49,52,0
23,47,80,65,20,91,0
84,33,28,100,37,17,0
85,1,52,59,0,29,0
98,17,6,1,24,44,1
68,27,20,98,97,28,0
66,48,70,75,90,49,1
26,81,24,5,30,34,1
7,37,46,17,91,15,0
0,36,56,32,37,6,0
15,97,76,4,71,77,0
8,7,42,52,70,88,1
93,74,39,14,55,56,1
84,72,74,28,42,74,1
91,37,64,66,6,63,1
62,49,65,28,3,12,1
68,11,5,7,27,32,0
20,85,86,45,98,34,0
7,69,10,81,2,90,0
40,100,93,2,30,64,0
54,59,31,20,22,60,1
99,31,31,66,15,57,1
85,14,58,98,60,77,1
84,6,96,60,1,83,0
65,54,35,59,16,81,1
70,50,53,44,69,51,1
11,14,46,87,82,74,0
8,11,53,20,83,10,1
79,24,81,47,85,14,1
77,29,17,53,21,83,1
55,45,92,83,56,69,1
97,61,2,62,73,41,1
90,64,14,68,95,69,1
13,80,68,89,62,27,1
80,97,91,0,26,85,1
21,25,31,84,10,14,1
52,11,80,86,14,46,0
5,9,48,52,24,56,1
24,51,30,71,49,87,0
48,85,29,30,38,9,0
60,6,81,62,44,92,1
2,44,66,59,60,10,1
0,69,64,63,63,2,0
9,48,26,53,20,21,0
52,24,13,25,19,84,1
7,59,61,98,75,100,0
26,11,62,48,55,0,1
78,59,90,19,27,2,1
71,95,90,40,25,73,1
87,46,87,74,66,43,0
10,100,93,18,90,55,0
93,60,38,71,98,50,0
85,26,79,58,31,89,0
51,67,27,58,75,95,1
14,54,10,81,27,92,0
37,43,12,18,45,55,1
52,47,58,44,97,56,0
67,93,31,92,99,89,0
9,60,75,49,11,31,0
22,46,29,46,41,55,0
85,16,61,84,97,89,1
29,93,14,93,12,15,0
97,26,15,8,76,41,0
1,61,44,44,29,91,1
93,63,46,29,91,82,1
60,9,27,13,9,59,1
55,14,23,6,1,1,1
81,90,16,87,40,23,1
43,91,100,0,69,67,0
35,51,81,12,93,34,0
81,100,53,60,2,37,0
86,70,30,94,54,84,0
31,62,22,77,98,88,0
27,59,64,3,96,83,1
53,11,27,60,30,37,0
8,27,60,42,36,67,1
71,7,15,94,90,42,1
65,37,62,98,57,48,1
58,9,72,56,4,91,0
99,15,89,85,42,69,0
35,57,98,85,17,10,0
44,100,58,97,61,76,1
95,8,11,74,88,62,1
0,16,83,89,15,12,0
75,61,91,23,40,89,1
17,58,50,66,52,31,0
49,44,64,14,82,96,0
96,54,64,77,71,16,0
70,19,68,50,48,26,1
37,8,44,12,22,100,0
72,90,58,11,8,77,0
96,28,15,80,87,82,1
20,32,93,50,20,84,0
96,73,20,44,10,72,1
63,62,18,0,22,0,1
57,30,4,41,10,11,1
7,37,36,73,67,42,1
31,33,25,63,12,89,1
92,35,69,2,8,64,0
41,44,39,76,56,51,0
17,51,33,6,90,40,0
56,15,24,67,22,13,1
1,96,98,36,78,40,1
95,7,83,13,17,59,0
25,59,98,99,6,87,0
1,100,98,20,99,73,1
36,89,85,44,57,70,1
21,95,98,27,64,78,0
61,79,28,58,72,3,1
14,29,31,13,68,80,0
38,10,76,95,15,63,0
54,36,26,34,79,44,1
23,18,53,29,34,38,0
76,92,86,16,95,56,1
43,65,95,0,100,10,1
85,23,39,30,37,11,0
79,7,66,55,40,48,1
31,34,27,58,29,64,1
62,38,54,46,95,13,1
49,60,5,81,26,20,0
33,49,18,66,21,83,1
89,5,10,87,58,27,1
67,19,73,52,75,87,0
55,35,11,25,27,3,0
66,42,91,8,5,44,1
64,76,32,13,62,18,1
97,78,53,82,92,42,1
1,100,67,7,44,77,1
58,48,77,29,72,73,0
9,66,61,61,76,10,0
58,97,67,16,100,98,0
28,43,98,18,88,83,0
2,93,96,51,78,93,1
78,70,39,27,67,2,1
57,87,28,14,36,39,0
21,87,68,41,94,2,0
24,95,9,4,69,51,1
22,29,6,54,64,96,1
43,96,96,61,64,41,0
4,77,22,38,16,36,0
37,92,15,99,5,40,0
3,70,0,63,73,51,0
74,21,3,71,52,52,1
18,44,96,100,13,77,1
8,50,52,25,6,37,0
46,75,51,6,63,31,0
43,29,1,38,22,56,0
92,9,32,14,100,10,1
91,84,34,23,26,2,0
78,1,63,40,49,89,1
3,19,11,22,43,25,0
79,13,13,30,97,85,0
82,95,10,28,25,69,1
21,18,19,64,95,46,0
27,61,37,47,31,29,1
4,39,7,54,26,80,1
58,50,0,29,10,17,0
32,79,90,48,58,41,0
36,24,85,55,40,40,0
24,57,95,97,54,23,1
77,3,30,26,43,81,0
4,64,1,72,81,97,0
82,49,53,57,76,91,0
49,62,85,86,84,7,0
22,1,21,16,39,73,0
14,29,4,42,77,21,0
80,30,6,21,84,97,0
89,74,5,54,34,14,1
16,3,7,86,22,55,1
73,84,76,45,10,51,1
22,34,97,30,63,40,0
55,42,17,10,46,91,1
64,81,27,70,77,64,0
47,50,55,66,59,99,0
25,30,23,4,7,83,0
27,15,16,77,19,16,0
84,40,56,18,47,98,1
27,78,63,20,67,89,1
44,58,79,89,7,68,0
65,15,79,33,81,49,0
83,2,59,76,43,99,0
98,39,1,54,7,67,0
2,38,39,11,74,60,0
16,26,20,22,86,51,1
26,15,52,41,77,31,0
60,50,53,52,31,61,1
72,33,54,54,23,46,1
45,18,98,28,62,24,1
21,15,75,19,80,36,0
84,31,2,8,15,10,0
48,43,85,95,84,73,0
99,27,60,38,43,21,0
13,50,100,47,88,61,1
93,17,21,60,58,31,1
8,27,97,87,37,64,1
58,83,77,63,42,28,1
22,50,89,73,4,15,0
55,84,3,18,22,19,0
57,34,82,67,26,36,1
80,18,30,39,11,54,1
26,64,95,29,74,19,1
4,74,82,56,72,41,0
43,44,9,39,52,87,1
26,87,95,84,33,12,0
26,94,28,33,45,20,1
27,76,44,48,13,24,1
75,3,86,60,86,5,1
37,61,51,95,32,62,0
86,29,5,6,73,68,1
46,90,20,4,13,84,0
47,97,96,70,15,78,0
78,18,41,76,95,48,0
32,71,68,2,33,28,0
25,17,76,97,28,96,1
84,0,81,1,83,43,1
46,74,4,53,32,98,1
54,42,58,21,55,90,1
93,2,31,94,27,26,1
75,31,34,15,99,19,1
47,93,21,65,60,30,1
32,18,78,98,79,90,1
14,39,72,12,14,58,0
42,56,10,13,17,37,0
30,39,38,90,83,17,1
39,26,24,83,43,14,1
67,24,75,64,0,85,1
53,33,81,88,50,24,1
33,60,50,91,98,21,0
61,84,90,3,68,69,1
29,90,88,17,21,38,0
64,51,47,1,77,2,0
10,69,3,37,30,79,1
53,29,36,15,95,70,0
85,79,66,87,34,9,0
49,15,48,86,60,54,0
71,87,21,73,97,0,0
0,93,40,90,69,8,1
20,53,73,67,67,45,1
17,43,22,0,92,93,0
24,35,33,3,95,47,1
42,6,5,51,43,87,0
79,51,88,8,15,99,0
55,5,100,31,63,41,1
29,30,81,70,63,72,0
99,35,53,30,55,73,1
87,53,98,27,99,84,0
53,34,68,96,43,51,0
90,91,20,13,79,63,0
44,37,15,78,50,88,1
57,12,90,44,88,30,1
18,19,52,31,9,32,0
77,88,58,44,43,42,1
34,4,23,79,64,35,0
52,60,96,66,93,92,1
30,61,59,84,61,6,1
56,61,42,41,75,90,0
37,35,10,85,33,98,1
55,22,38,51,27,23,0
4,45,15,6,35,89,1
28,23,45,72,33,47,1
70,97,80,14,79,12,1
37,88,85,85,97,89,1
70,88,82,92,94,55,1
52,80,63,7,46,98,1
88,85,96,96,80,69,1
47,27,6,87,5,34,0
64,99,32,68,94,63,0
54,35,2,83,98,68,0
24,13,12,59,89,1,0
2,98,59,84,45,69,0
75,28,63,86,8,49,0
81,6,74,61,90,36,0
32,79,71,51,97,88,1
51,60,88,31,46,11,0
82,55,39,35,48,68,1
73,39,31,49,78,60,1
22,47,17,41,75,46,1
83,19,56,25,68,19,0
77,85,85,21,15,15,1
48,18,14,39,15,82,0
21,17,56,71,70,42,0
37,17,36,82,93,17,1
29,27,80,51,47,100,0
94,13,28,26,85,74,1
87,67,50,30,67,86,0
90,24,51,82,24,54,1
30,62,98,75,86,15,0
40,100,61,49,30,97,0
80,13,86,17,25,25,0
67,89,80,31,33,27,0
67,14,80,6,67,32,1
28,43,13,57,7,30,1
42,76,75,28,78,45,0
70,50,62,42,20,100,1
83,16,58,16,3,68,1
19,41,8,49,15,75,1
97,34,35,88,89,79,0
98,92,58,12,85,59,1
62,54,87,39,66,34,0
7,89,10,1,40,96,0
52,35,16,29,43,8,1
57,46,98,44,20,76,0
59,91,90,33,17,23,0
90,43,10,22,77,44,1
54,5,2,88,44,62,1
29,14,48,47,34,1,1
5,77,18,9,94,25,0
85,67,36,46,43,88,1
36,49,51,44,58,90,0
27,73,60,78,25,8,1
72,17,33,63,87,100,1
7,78,40,22,51,11,1
16,78,60,31,39,39,1
46,65,24,17,80,1,1
40,45,25,68,98,18,0
41,22,44,3,44,97,1
97,23,55,42,21,9,0
23,70,88,78,92,15,0
20,48,74,60,7,89,1
40,56,96,48,30,59,0
41,67,15,42,42,44,0
76,92,40,22,24,5,0
32,63,59,51,92,95,0
64,51,86,46,45,88,1
2,71,0,14,37,63,0
42,46,78,72,25,18,0
86,35,98,62,70,75,0
78,80,75,21,12,69,1
7,14,92,10,64,90,1
16,24,42,19,81,0,1
58,0,87,0,95,73,0
5,29,58,87,47,11,1
15,7,65,86,69,59,1
9,40,65,64,39,25,0
5,7,94,63,72,41,0
85,42,29,74,47,72,1
40,82,17,58,15,43,1
41,28,19,94,35,9,1
2,92,86,35,54,93,0
82,6,50,13,55,11,1
63,1,39,40,8,15,0
47,12,95,6,37,32,0
87,73,99,80,85,24,0
37,50,59,81,37,42,1
47,11,35,11,55,85,1
56,73,14,1,20,14,0
74,59,19,12,81,71,0
24,20,20,41,23,52,1
50,16,98,86,1,19,1
40,54,22,88,9,99,1
43,33,45,36,33,39,0
24,3,59,26,51,62,1
67,83,49,80,88,31,0
83,77,11,75,10,51,1
79,56,92,85,94,72,1
21,80,95,100,4,63,0
18,76,4,8,44,19,0
27,79,56,70,22,32,1
16,86,87,18,31,95,1
94,89,86,78,82,34,0
62,17,20,88,27,18,0
1,14,55,57,100,95,0
100,38,13,72,92,55,1
10,46,56,76,11,70,0
44,19,85,66,32,53,1
47,87,25,74,9,46,0
14,53,66,58,24,7,1
55,82,40,25,30,48,1
40,100,85,49,79,50,1
72,40,87,35,19,97,1
7,46,2,91,39,47,0
21,88,97,73,99,37,0
45,96,63,41,55,41,1
16,44,95,74,91,87,1
58,90,34,81,31,56,0
0,61,23,66,11,85,1
60,59,1,38,31,87,1
100,40,29,94,41,52,1
15,6,37,87,32,47,0
20,99,7,11,80,6,1
8,73,32,33,43,74,0
31,34,41,18,1,91,0
97,70,64,19,73,49,1
98,39,84,31,71,88,1
88,25,24,25,43,72,1
98,27,16,65,81,25,0
5,58,58,48,50,0,0
43,80,12,70,21,9,1
12,92,71,36,35,29,0
20,77,95,50,7,38,0
6,25,20,2,56,47,1
65,2,58,51,78,48,1
36,6,1,28,8,90,0
13,17,78,49,34,83,1
78,43,9,20,85,92,0
77,60,10,31,90,11,0
19,66,64,94,15,3,1
90,21,56,10,33,15,1
23,52,32,40,82,58,1
81,60,48,11,32,20,0
15,32,19,76,93,34,0
78,96,50,8,40,55,0
53,39,84,78,46,78,1
94,85,10,74,24,88,1
99,3,67,86,0,85,1
73,20,45,16,87,99,1
22,91,26,78,57,51,1
23,11,35,33,44,22,1
42,61,93,88,98,54,0
59,74,70,23,53,83,0
78,47,50,56,11,87,1
8,18,89,2,77,71,0
8,4,73,52,12,76,1
89,98,46,81,6,64,0
98,54,91,5,59,72,0
99,93,88,7,45,89,1
47,8,29,15,94,24,0
81,39,42,67,48,43,1
63,55,30,73,31,87,0
9,39,87,90,69,10,1
35,76,88,32,28,47,0
14,88,57,50,12,81,0
9,88,54,39,28,100,1
97,78,24,100,93,82,0
76,78,25,94,35,65,1
35,81,100,45,36,82,1
66,49,27,5,13,92,0
14,100,79,34,49,70,1
2,47,69,61,85,7,0
96,94,45,50,76,63,0
10,74,40,72,94,78,0
78,35,26,99,45,73,1
62,27,97,15,33,65,0
69,15,93,81,3,24,1
47,37,18,10,85,72,0
6,52,10,89,70,76,1
24,39,96,95,35,20,0
22,51,50,68,67,44,1
58,79,39,52,69,99,0
15,45,88,89,85,85,0
86,32,57,21,7,68,1
44,17,10,45,35,70,1
77,28,30,79,86,92,1
0,16,34,2,55,84,1
78,73,81,38,40,49,0
84,92,2,71,67,0,1
71,15,59,41,53,85,1
37,6,76,84,91,53,1
95,87,68,83,31,5,1
99,49,44,67,41,14,1
62,33,71,26,6,54,1
60,48,68,11,80,65,0
88,43,43,16,46,36,1
13,29,16,6,82,35,1
61,74,39,72,91,33,1
87,37,24,89,57,55,0
55,96,59,53,41,56,1
63,92,35,36,75,9,0
30,79,92,29,33,97,0
6,50,42,70,58,55,1
13,2,67,67,21,66,0
64,77,59,7,90,0,1
8,23,8,71,15,74,0
38,1,79,39,37,14,1
26,82,32,61,18,25,1
26,49,96,34,48,22,0
85,56,22,22,13,66,0
17,74,45,78,83,3,0
33,76,65,59,15,49,0
70,80,72,26,28,78,0
54,76,90,54,7,92,0
39,98,7,97,44,52,1
84,0,79,62,86,7,1
82,58,29,91,5,73,1
44,48,43,76,34,87,0
32,93,82,29,81,99,0
77,4,80,7,34,47,0
48,23,7,65,32,49,0
18,18,12,73,33,15,0
28,23,39,35,76,37,1
86,83,99,74,0,8,1
6,71,91,15,59,45,0
38,48,14,58,85,40,1
95,77,89,14,48,0,0
44,63,10,77,89,38,0
38,39,50,98,91,66,1
82,51,30,78,90,6,0
0,19,79,85,10,44,0
33,49,56,17,8,99,1
69,83,28,71,88,84,0
7,46,97,55,35,68,1
36,42,96,27,21,35,0
98,37,19,91,19,2,0
14,74,18,77,2,45,1
3,84,99,77,57,30,1
66,12,51,53,14,89,1
65,22,65,46,73,46,0
14,0,46,91,88,33,0
83,4,37,59,59,26,0
54,87,2,93,58,96,1
42,21,83,29,78,89,0
79,56,50,50,16,9,1
72,80,76,60,49,21,1
54,40,49,28,36,28,1
15,83,74,90,73,36,1
58,32,66,44,11,88,0
94,10,4,27,13,82,0
75,6,2,40,91,9,1
12,96,76,1,78,63,1
12,93,88,9,31,83,0
30,50,6,43,41,55,0
81,15,5,52,41,35,0
7,90,3,30,18,98,1
81,26,44,27,49,37,1
70,70,66,6,76,67,0
37,73,44,98,70,9,0
20,30,34,3,19,89,0
17,65,60,18,98,94,0
23,47,93,22,56,8,1
12,32,44,16,85,98,0
59,31,82,33,30,32,0
94,91,31,65,61,36,1
94,21,0,63,13,54,1
32,50,48,11,33,25,0
82,11,19,44,53,76,0
93,88,5,42,3,86,0
6,98,58,31,14,2,0
7,55,29,52,38,43,0
5,48,66,62,19,18,1
14,79,38,3,15,74,0
37,33,18,77,40,75,1
86,27,2,2,96,44,1
45,14,66,81,74,67,1
20,39,32,88,37,4,0
42,49,39,48,37,8,0
73,83,92,73,22,12,0
33,96,11,66,18,74,1
94,39,32,96,17,59,1
52,30,2,94,54,41,1
88,43,99,14,87,82,1
87,67,62,98,96,16,1
30,48,38,16,33,83,1
5,93,56,6,6,79,1
90,91,18,38,18,17,1
53,91,17,99,88,75,0
83,91,35,96,81,26,0
43,11,30,78,67,71,0
41,52,49,59,58,3,0
11,76,74,58,37,84,1
31,39,16,0,40,24,1
75,6,41,63,64,37,0
6,41,31,80,84,30,0
24,37,87,28,69,98,1
15,81,50,84,28,95,0
84,29,66,2,12,24,0
94,43,91,7,97,24,1
20,75,43,38,5,93,1
82,38,18,95,96,1,0
67,34,19,41,40,88,0
66,37,13,12,55,40,1
25,53,21,6,88,44,1
100,93,36,13,40,66,0
68,59,57,11,85,42,0
41,71,50,67,2,100,0
16,91,51,15,33,85,1
22,78,19,71,46,95,0
80,31,28,77,43,70,0
72,64,25,67,77,15,1
91,71,68,54,59,33,0
3,33,1,91,42,2,1
6,21,84,80,65,18,0
88,100,28,43,7,39,1
98,56,66,58,52,94,1
5,87,24,11,17,27,0
40,22,20,66,12,73,1
78,6,14,57,19,48,0
76,41,10,14,92,66,1
72,52,73,71,22,48,1
63,20,62,42,13,87,0
69,42,57,69,28,84,1
13,66,2,90,40,69,1
71,98,26,47,48,82,0
28,44,32,18,21,32,0
83,82,23,33,26,36,1
62,79,27,73,33,51,0
72,61,51,37,71,70,0
38,98,55,50,94,25,0
10,16,84,48,49,89,1
70,16,74,35,96,47,1
42,33,40,72,69,42,0
66,47,27,29,65,65,0
67,60,34,21,58,3,0
27,84,40,11,58,59,0
95,46,97,100,17,53,1
55,26,22,79,58,14,1
16,4,86,4,53,90,0
81,88,18,67,95,11,0
23,92,90,76,82,43,1
69,46,89,91,50,17,1
35,3,77,38,7,85,1
72,3,5,90,94,93,0
55,13,84,11,5,66,1
52,40,61,41,74,9,1
55,14,37,94,25,11,0
47,70,76,100,11,51,0
82,91,36,87,43,58,0
18,20,38,27,17,2,0
55,5,10,47,95,75,0
60,7,16,7,67,2,1
29,73,9,14,60,92,1
95,93,53,83,5,41,0
14,37,48,54,47,14,1
33,16,19,90,8,39,1
15,65,62,55,22,99,1
14,86,40,41,55,75,0
83,44,29,13,78,30,0
3,92,84,25,84,29,1
66,92,5,8,15,63,0
60,26,5,73,89,60,0
7,34,27,25,62,73,1
85,16,26,69,14,48,0
72,40,74,32,89,83,0
86,61,52,61,92,21,1
49,89,27,68,55,44,0
8,43,80,51,56,25,0
42,4,89,54,69,80,0
80,89,46,94,52,19,1
73,88,71,73,19,68,0
25,95,70,96,40,94,1
31,85,50,79,19,44,1
1,97,46,42,50,1,1
20,53,61,42,53,78,1
85,79,50,27,53,27,0
31,29,50,0,73,39,1
66,62,17,43,86,79,0
78,23,16,15,81,92,0
0,41,77,15,46,76,0
40,4,26,46,23,92,1
64,100,92,35,41,53,1
42,31,93,72,100,72,1
38,32,34,33,71,38,1
27,28,26,56,5,26,0
8,88,9,2,48,51,0
13,45,53,4,55,88,1
47,72,40,74,66,13,1
100,90,82,16,34,81,1
33,90,59,92,95,95,1
36,91,16,26,100,10,0
24,77,70,18,21,56,1
79,30,73,3,43,65,1
14,91,39,7,3,14,1
85,26,87,42,39,24,1
68,25,37,28,39,60,1
78,41,16,55,29,91,0
5,14,42,13,8,97,0
30,37,78,46,45,26,0
68,87,30,63,28,88,1
54,87,68,35,93,83,0
95,54,28,20,65,68,0
47,35,57,17,5,13,1
91,76,60,41,72,59,0
13,65,10,63,99,40,0
84,13,49,18,90,44,0
92,83,66,15,58,22,0
28,99,43,49,63,11,1
75,89,42,71,7,11,0
26,32,83,53,82,59,0
21,59,80,46,50,91,1
100,91,57,72,99,33,0
16,67,48,81,40,50,0
48,71,7,87,12,45,1
44,9,86,23,81,2,1
20,60,5,76,12,92,0
92,97,42,8,47,98,0
66,45,53,96,12,49,0
69,33,51,63,57,10,1
78,53,33,65,79,19,0
78,16,17,11,81,10,1
14,88,6,68,47,0,0
37,60,79,81,58,28,1
3,73,14,42,14,33,0
78,4,59,55,82,26,1
87,95,97,4,59,12,0
4,90,88,77,39,11,1
33,46,82,29,6,98,0
18,8,61,55,78,5,0
63,0,21,19,49,41,1
98,19,78,100,90,43,0
99,82,37,81,37,91,0
48,54,34,73,36,80,1
26,22,80,71,44,57,1
49,27,97,9,100,59,1
57,34,1,83,55,99,0
17,18,6,79,98,61,1
53,57,59,21,54,92,1
71,41,27,43,99,88,1
76,8,46,66,82,27,1
43,47,80,17,61,8,1
81,39,84,35,21,59,0
55,100,41,67,59,30,0
90,53,4,97,71,28,1
74,2,26,20,82,60,0
87,47,70,55,56,31,0
15,11,84,11,34,56,1
94,32,26,65,44,32,1
14,25,62,29,71,20,1
10,100,72,92,25,46,1
94,1,93,50,27,81,1
87,43,81,74,54,45,0
86,83,50,97,15,83,1
65,7,40,73,63,75,1
9,30,69,38,72,29,1
62,13,65,78,71,27,1
91,99,78,12,44,13,1
72,7,87,47,83,64,1
79,66,56,43,68,65,1
83,36,82,54,35,91,1
46,17,98,11,96,5,0
98,21,70,4,55,59,1
82,64,95,36,40,33,0
60,43,34,86,76,81,1
18,8,49,64,72,8,1
3,89,39,43,94,68,0
5,36,37,91,46,86,1
48,43,70,47,89,94,1
40,75,7,44,35,96,0
96,5,39,92,42,100,0
11,67,6,11,91,52,0
32,15,97,12,77,20,0
88,37,39,16,81,47,1
86,3,34,83,83,55,1
69,86,10,14,48,47,1
28,44,7,69,38,84,1
42,15,5,51,80,24,1
29,17,26,29,91,56,0
71,80,78,18,10,57,1
19,78,33,28,73,78,1
22,27,50,32,30,54,0
46,19,97,12,27,19,0
26,30,13,80,10,99,1
40,96,74,33,88,93,1
93,28,4,11,90,92,0
72,47,59,13,66,54,0
